"city","postalcode","stateid","citypostalcodekey"
"Richmond","47374",13,"Richmond-47374"
"Columbus","47201",13,"Columbus-47201"
"Boynton Beach","33437",9,"Boynton Beach-33437"
"New Castle","47362",13,"New Castle-47362"
"North Miami","33161",9,"North Miami-33161"
"Lorain","44052",34,"Lorain-44052"
"Manteca","95336",4,"Manteca-95336"
"Grapevine","76051",42,"Grapevine-76051"
"Littleton","80122",5,"Littleton-80122"
"Moorhead","56560",22,"Moorhead-56560"
"North Charleston","29406",39,"North Charleston-29406"
"Encinitas","92024",4,"Encinitas-92024"
"Phoenix","85023",2,"Phoenix-85023"
"Henderson","42420",16,"Henderson-42420"
"East Point","30344",10,"East Point-30344"
"Pueblo","81001",5,"Pueblo-81001"
"Des Moines","50315",14,"Des Moines-50315"
"Louisville","80027",5,"Louisville-80027"
"Abilene","79605",42,"Abilene-79605"
"Redmond","97756",36,"Redmond-97756"
"Norfolk","68701",26,"Norfolk-68701"
"Hendersonville","37075",41,"Hendersonville-37075"
"Woodbury","55125",22,"Woodbury-55125"
"Tyler","75701",42,"Tyler-75701"
"Coppell","75019",42,"Coppell-75019"
"Clinton","20735",19,"Clinton-20735"
"Roseville","95661",4,"Roseville-95661"
"Tallahassee","32303",9,"Tallahassee-32303"
"Danville","94526",4,"Danville-94526"
"Independence","64055",24,"Independence-64055"
"Oxnard","93030",4,"Oxnard-93030"
"Davis","95616",4,"Davis-95616"
"Thomasville","27360",32,"Thomasville-27360"
"New York City","10035",31,"New York City-10035"
"Conroe","77301",42,"Conroe-77301"
"Plainfield","7060",29,"Plainfield-7060"
"Smyrna","37167",41,"Smyrna-37167"
"Salem","24153",45,"Salem-24153"
"Carlsbad","88220",30,"Carlsbad-88220"
"Burlington","5408",44,"Burlington-5408"
"Glendale","85301",2,"Glendale-85301"
"Longmont","80501",5,"Longmont-80501"
"Marysville","98270",46,"Marysville-98270"
"Los Angeles","90049",4,"Los Angeles-90049"
"Monroe","28110",32,"Monroe-28110"
"Concord","3301",28,"Concord-3301"
"Bangor","4401",18,"Bangor-4401"
"Burlington","52601",14,"Burlington-52601"
"Decatur","62521",12,"Decatur-62521"
"Conway","72032",3,"Conway-72032"
"Franklin","53132",48,"Franklin-53132"
"Tigard","97224",36,"Tigard-97224"
"Florence","41042",16,"Florence-41042"
