"rowid","orderid","orderdate","sales","quantity","discount","profit","shipdate","customerid","shipmentid"
1,"CA-2016-152156","2016-11-08","261.96",2,"0.00","41.91","2016-11-11","CG-12520",4
2,"CA-2016-152156","2016-11-08","731.94",3,"0.00","219.58","2016-11-11","CG-12520",4
3,"CA-2016-138688","2016-06-12","14.62",2,"0.00","6.87","2016-06-16","DV-13045",4
4,"US-2015-108966","2015-10-11","957.58",5,"0.45","-383.03","2015-10-18","SO-20335",2
5,"US-2015-108966","2015-10-11","22.37",2,"0.20","2.52","2015-10-18","SO-20335",2
6,"CA-2014-115812","2014-06-09","48.86",7,"0.00","14.17","2014-06-14","BH-11710",2
7,"CA-2014-115812","2014-06-09","7.28",4,"0.00","1.97","2014-06-14","BH-11710",2
8,"CA-2014-115812","2014-06-09","907.15",6,"0.20","90.72","2014-06-14","BH-11710",2
9,"CA-2014-115812","2014-06-09","18.50",3,"0.20","5.78","2014-06-14","BH-11710",2
10,"CA-2014-115812","2014-06-09","114.90",5,"0.00","34.47","2014-06-14","BH-11710",2
11,"CA-2014-115812","2014-06-09","1706.18",9,"0.20","85.31","2014-06-14","BH-11710",2
12,"CA-2014-115812","2014-06-09","911.42",4,"0.20","68.36","2014-06-14","BH-11710",2
13,"CA-2017-114412","2017-04-15","15.55",3,"0.20","5.44","2017-04-20","AA-10480",2
14,"CA-2016-161389","2016-12-05","407.98",3,"0.20","132.59","2016-12-10","IM-15070",2
15,"US-2015-118983","2015-11-22","68.81",5,"0.80","-123.86","2015-11-26","HP-14815",2
16,"US-2015-118983","2015-11-22","2.54",3,"0.80","-3.82","2015-11-26","HP-14815",2
17,"CA-2014-105893","2014-11-11","665.88",6,"0.00","13.32","2014-11-18","PK-19075",2
18,"CA-2014-167164","2014-05-13","55.50",2,"0.00","9.99","2014-05-15","AG-10270",4
19,"CA-2014-143336","2014-08-27","8.56",2,"0.00","2.48","2014-09-01","ZD-21925",4
20,"CA-2014-143336","2014-08-27","213.48",3,"0.20","16.01","2014-09-01","ZD-21925",4
21,"CA-2014-143336","2014-08-27","22.72",4,"0.20","7.38","2014-09-01","ZD-21925",4
22,"CA-2016-137330","2016-12-09","19.46",7,"0.00","5.06","2016-12-13","KB-16585",2
23,"CA-2016-137330","2016-12-09","60.34",7,"0.00","15.69","2016-12-13","KB-16585",2
24,"US-2017-156909","2017-07-16","71.37",2,"0.30","-1.02","2017-07-18","SF-20065",4
25,"CA-2015-106320","2015-09-25","1044.63",3,"0.00","240.26","2015-09-30","EB-13870",2
26,"CA-2016-121755","2016-01-16","11.65",2,"0.20","4.22","2016-01-20","EH-13945",4
27,"CA-2016-121755","2016-01-16","90.57",3,"0.00","11.77","2016-01-20","EH-13945",4
28,"US-2015-150630","2015-09-17","3083.43",7,"0.50","-1665.05","2015-09-21","TB-21520",2
29,"US-2015-150630","2015-09-17","9.62",2,"0.70","-7.05","2015-09-21","TB-21520",2
30,"US-2015-150630","2015-09-17","124.20",3,"0.20","15.53","2015-09-21","TB-21520",2
31,"US-2015-150630","2015-09-17","3.26",2,"0.20","1.10","2015-09-21","TB-21520",2
32,"US-2015-150630","2015-09-17","86.30",6,"0.20","9.71","2015-09-21","TB-21520",2
33,"US-2015-150630","2015-09-17","6.86",6,"0.70","-5.72","2015-09-21","TB-21520",2
34,"US-2015-150630","2015-09-17","15.76",2,"0.20","3.55","2015-09-21","TB-21520",2
35,"CA-2017-107727","2017-10-19","29.47",3,"0.20","9.95","2017-10-23","MA-17560",4
36,"CA-2016-117590","2016-12-08","1097.54",7,"0.20","123.47","2016-12-10","GH-14485",1
37,"CA-2016-117590","2016-12-08","190.92",5,"0.60","-147.96","2016-12-10","GH-14485",1
38,"CA-2015-117415","2015-12-27","113.33",9,"0.20","35.42","2015-12-31","SN-20710",2
39,"CA-2015-117415","2015-12-27","532.40",3,"0.32","-46.98","2015-12-31","SN-20710",2
40,"CA-2015-117415","2015-12-27","212.06",3,"0.30","-15.15","2015-12-31","SN-20710",2
41,"CA-2015-117415","2015-12-27","371.17",4,"0.20","41.76","2015-12-31","SN-20710",2
42,"CA-2017-120999","2017-09-10","147.17",4,"0.20","16.56","2017-09-15","LC-16930",2
43,"CA-2016-101343","2016-07-17","77.88",2,"0.00","3.89","2016-07-22","RA-19885",2
44,"CA-2017-139619","2017-09-19","95.62",2,"0.20","9.56","2017-09-23","ES-14080",2
45,"CA-2016-118255","2016-03-11","45.98",2,"0.00","19.77","2016-03-13","ON-18715",1
46,"CA-2016-118255","2016-03-11","17.46",2,"0.00","8.21","2016-03-13","ON-18715",1
47,"CA-2014-146703","2014-10-20","211.96",4,"0.00","8.48","2014-10-25","PO-18865",4
48,"CA-2016-169194","2016-06-20","45.00",3,"0.00","4.95","2016-06-25","LH-16900",2
49,"CA-2016-169194","2016-06-20","21.80",2,"0.00","6.10","2016-06-25","LH-16900",2
50,"CA-2015-115742","2015-04-18","38.22",6,"0.00","17.96","2015-04-22","DP-13000",2
51,"CA-2015-115742","2015-04-18","75.18",6,"0.00","35.33","2015-04-22","DP-13000",2
52,"CA-2015-115742","2015-04-18","6.16",2,"0.00","2.96","2015-04-22","DP-13000",2
53,"CA-2015-115742","2015-04-18","89.99",1,"0.00","17.10","2015-04-22","DP-13000",2
54,"CA-2016-105816","2016-12-11","15.26",7,"0.00","6.26","2016-12-17","JM-15265",2
55,"CA-2016-105816","2016-12-11","1029.95",5,"0.00","298.69","2016-12-17","JM-15265",2
56,"CA-2016-111682","2016-06-17","208.56",6,"0.00","52.14","2016-06-18","TB-21055",1
57,"CA-2016-111682","2016-06-17","32.40",5,"0.00","15.55","2016-06-18","TB-21055",1
58,"CA-2016-111682","2016-06-17","319.41",5,"0.10","7.10","2016-06-18","TB-21055",1
59,"CA-2016-111682","2016-06-17","14.56",2,"0.00","6.99","2016-06-18","TB-21055",1
60,"CA-2016-111682","2016-06-17","30.00",2,"0.00","3.30","2016-06-18","TB-21055",1
61,"CA-2016-111682","2016-06-17","48.48",4,"0.20","16.36","2016-06-18","TB-21055",1
62,"CA-2016-111682","2016-06-17","1.68",1,"0.00","0.84","2016-06-18","TB-21055",1
63,"CA-2015-135545","2015-11-24","13.98",2,"0.00","6.15","2015-11-30","KM-16720",2
64,"CA-2015-135545","2015-11-24","25.82",6,"0.20","9.36","2015-11-30","KM-16720",2
65,"CA-2015-135545","2015-11-24","146.73",3,"0.00","68.96","2015-11-30","KM-16720",2
66,"CA-2015-135545","2015-11-24","79.76",4,"0.00","22.33","2015-11-30","KM-16720",2
67,"US-2015-164175","2015-04-30","213.12",5,"0.30","-15.22","2015-05-05","PS-18970",2
68,"CA-2014-106376","2014-12-05","1113.02",8,"0.20","111.30","2014-12-10","BS-11590",2
69,"CA-2014-106376","2014-12-05","167.97",4,"0.20","62.99","2014-12-10","BS-11590",2
70,"CA-2016-119823","2016-06-04","75.88",2,"0.00","35.66","2016-06-06","KD-16270",1
71,"CA-2016-106075","2016-09-18","4.62",1,"0.20","1.73","2016-09-23","HM-14980",2
72,"CA-2017-114440","2017-09-14","19.05",3,"0.00","8.76","2017-09-17","TB-21520",4
73,"US-2015-134026","2015-04-26","831.94",8,"0.20","-114.39","2015-05-02","JE-15745",2
74,"US-2015-134026","2015-04-26","97.04",2,"0.20","1.21","2015-05-02","JE-15745",2
75,"US-2015-134026","2015-04-26","72.78",1,"0.20","-18.20","2015-05-02","JE-15745",2
76,"US-2017-118038","2017-12-09","1.25",3,"0.80","-1.93","2017-12-11","KB-16600",1
77,"US-2017-118038","2017-12-09","9.71",3,"0.60","-5.82","2017-12-11","KB-16600",1
78,"US-2017-118038","2017-12-09","27.24",3,"0.20","2.72","2017-12-11","KB-16600",1
79,"US-2014-147606","2014-11-26","19.30",5,"0.60","-14.48","2014-12-01","JE-15745",4
80,"CA-2016-127208","2016-06-12","208.16",1,"0.00","56.20","2016-06-15","SC-20770",1
81,"CA-2016-127208","2016-06-12","16.74",3,"0.00","8.04","2016-06-15","SC-20770",1
82,"CA-2014-139451","2014-10-12","14.90",5,"0.00","4.17","2014-10-16","DN-13690",2
83,"CA-2014-139451","2014-10-12","21.39",1,"0.00","6.20","2014-10-16","DN-13690",2
84,"CA-2015-149734","2015-09-03","200.98",7,"0.20","62.81","2015-09-08","JC-16105",2
85,"US-2017-119662","2017-11-13","230.38",3,"0.20","-48.95","2017-11-16","CS-12400",1
86,"CA-2017-140088","2017-05-28","301.96",2,"0.00","33.22","2017-05-30","PO-18865",4
87,"CA-2017-155558","2017-10-26","19.99",1,"0.00","6.80","2017-11-02","PG-18895",2
88,"CA-2017-155558","2017-10-26","6.16",2,"0.00","2.96","2017-11-02","PG-18895",2
89,"CA-2016-159695","2016-04-05","158.37",7,"0.20","13.86","2016-04-10","GM-14455",4
90,"CA-2016-109806","2016-09-17","20.10",3,"0.00","6.63","2016-09-22","JS-15685",2
91,"CA-2016-109806","2016-09-17","73.58",2,"0.20","8.28","2016-09-22","JS-15685",2
92,"CA-2016-109806","2016-09-17","6.48",1,"0.00","3.11","2016-09-22","JS-15685",2
93,"CA-2015-149587","2015-01-31","12.96",2,"0.00","6.22","2015-02-05","KB-16315",4
94,"CA-2015-149587","2015-01-31","53.34",3,"0.00","16.54","2015-02-05","KB-16315",4
95,"CA-2015-149587","2015-01-31","32.96",2,"0.00","16.15","2015-02-05","KB-16315",4
96,"US-2017-109484","2017-11-06","5.68",1,"0.70","-3.79","2017-11-12","RB-19705",2
97,"CA-2017-161018","2017-11-09","96.53",7,"0.00","40.54","2017-11-11","PN-18775",4
98,"CA-2017-157833","2017-06-17","51.31",3,"0.20","17.96","2017-06-20","KD-16345",1
