"stateid","state"
1,"Oklahoma"
2,"Colorado"
3,"North Carolina"
4,"Mississippi"
5,"Florida"
6,"Vermont"
7,"Delaware"
8,"Nevada"
9,"Louisiana"
10,"New York"
11,"West Virginia"
12,"New Jersey"
13,"South Carolina"
14,"Arkansas"
15,"New Mexico"
16,"Missouri"
17,"Connecticut"
18,"South Dakota"
19,"District of Columbia"
20,"Iowa"
21,"Indiana"
22,"Massachusetts"
23,"Rhode Island"
24,"Ohio"
25,"Michigan"
26,"Minnesota"
27,"Pennsylvania"
28,"Washington"
29,"Montana"
30,"Wisconsin"
31,"Kentucky"
32,"Arizona"
33,"Illinois"
34,"Virginia"
35,"Maryland"
36,"Georgia"
37,"Wyoming"
38,"Utah"
39,"New Hampshire"
40,"North Dakota"
41,"Maine"
42,"Nebraska"
43,"California"
44,"Tennessee"
45,"Kansas"
46,"Oregon"
47,"Texas"
48,"Idaho"
49,"Alabama"
